NUM_CUTS,CRIT_LENGTH
58,849.94
78,660.1899999999999
76,836.71
92,1041.97
110,1684.0800000000002
110,1184.5700000000004
104,887.5699999999999
119,1409.4399999999998
137,1608.8
138,1385.24
173,2383.79
171,1677.35
175,1555.1199999999997
202,2721.08
228,1602.1
217,2511.24
235,2370.61
266,3170.0999999999995
271,2596.81
252,3331.0199999999995
317,3013.1699999999996
281,2833.44
277,2155.4999999999995
297,2155.5000000000005
294,2279.0
338,2985.37
333,1979.8399999999997
342,2420.290000000001
368,3327.74
367,2151.0
370,3214.61
401,2982.1700000000005
419,2264.0199999999995
414,2907.4899999999993
421,2998.9800000000005
462,3039.49
459,2723.2699999999995
494,4010.55
508,2743.86
522,2891.8300000000004
521,4133.789999999999
545,3409.130000000001
579,3347.680000000001
576,3232.260000000001
537,2656.0700000000006
517,3229.0000000000005
594,4307.429999999999
610,2924.6
593,2680.500000000001
639,2658.4999999999995
616,2695.9199999999996
664,4293.349999999999
606,4259.86
641,4127.690000000001
660,4487.419999999999
564,4437.68
659,3527.68
761,4498.349999999999
725,4678.470000000001
746,4678.26
753,5247.670000000001
758,5038.349999999999
767,4622.229999999998
750,3789.63
679,3224.3100000000004
800,4733.719999999998
787,4646.680000000001
797,3119.61
891,4651.700000000002
871,4145.04
841,3384.130000000001
867,4379.82
767,2807.3200000000006
855,3853.83
907,5853.11
968,5813.069999999997
825,4192.580000000001
1030,5090.36
915,6769.190000000004
961,4214.410000000001
1025,4546.51
979,4209.219999999999
1005,5322.610000000001
1005,5308.8
1075,4410.209999999999
1111,4106.25
1087,6274.249999999998
1091,5528.599999999998
1108,6337.18
1044,6561.6
1051,4859.170000000001
1105,6304.640000000001
1148,6198.3899999999985
1166,5781.9299999999985
1090,3632.75
1128,3543.0699999999997
