Node Count,Edge Cuts,Critical Length Before,Critical Length After
50,62,95.31,630.1800000000001
60,26,75.23,229.16000000000003
70,46,81.11,404.47
80,82,87.55000000000001,498.72
90,78,81.58999999999999,372.5999999999999
100,45,121.45,402.95000000000005
110,126,121.05999999999997,570.2099999999999
120,49,97.51999999999998,360.59000000000003
130,77,87.75,378.47
140,107,118.72999999999999,474.86
150,45,82.63,287.97999999999996
160,119,116.08,543.6899999999999
170,105,103.78000000000003,481.38
180,198,104.48000000000002,710.1400000000001
190,33,101.83000000000003,234.23999999999998
200,140,101.3,494.65
210,36,111.14000000000001,259.79999999999995
220,67,104.04000000000002,408.81
230,115,102.57,324.90000000000003
240,40,112.93,241.89
250,37,107.80000000000003,279.55
260,42,124.94999999999999,210.20999999999998
270,102,115.35,436.43
280,39,119.36000000000001,298.56999999999994
290,48,100.55,266.84
300,288,135.34000000000003,745.0399999999998
310,32,109.91999999999999,249.59000000000006
320,47,122.91,263.93
330,220,123.60000000000004,552.67
340,49,109.60999999999999,274.02
350,50,117.05999999999999,320.49
360,81,105.87999999999998,322.13
370,92,118.67,426.4600000000001
380,155,108.92999999999998,420.26000000000005
390,45,112.82999999999998,243.98000000000002
400,55,108.08999999999999,376.78000000000003
410,31,122.35000000000001,262.3
420,77,129.54000000000002,345.62
430,61,119.74999999999999,383.60999999999996
440,32,118.91000000000004,275.94
450,39,113.19,253.63
460,55,117.58000000000001,267.48
470,51,108.01999999999998,292.70000000000005
480,60,132.45999999999998,376.88
490,59,123.93,298.94
500,52,124.09000000000002,255.00999999999993
510,54,123.36000000000001,300.63
520,99,132.97,397.39
530,41,141.87999999999997,273.39
540,42,120.88,314.93000000000006
550,230,109.96000000000001,525.91
560,58,112.3,374.59999999999997
570,44,119.07000000000001,333.52
580,50,111.05,314.52000000000004
590,40,118.99000000000001,306.22999999999996
600,72,108.33999999999999,305.64
610,42,112.35999999999999,319.23
620,53,109.32000000000002,255.17999999999995
630,44,130.73,312.83000000000004
640,83,124.71999999999997,346.9
650,64,123.45000000000002,315.06000000000006
660,100,137.93,343.34000000000003
670,40,122.44,254.02999999999997
680,130,120.13,387.28999999999996
690,50,118.85,365.05
700,34,115.97,269.07
710,35,134.78,273.75999999999993
720,34,132.81,208.16
730,60,120.32000000000001,306.26
740,48,125.09,374.08
750,52,154.30000000000004,343.05999999999995
760,45,137.67,244.33
770,48,133.57000000000002,339.65
780,87,135.23000000000002,414.8099999999999
790,34,152.04000000000002,277.58
800,35,124.24999999999999,229.46
810,53,124.75,277.0
820,80,169.77,392.87999999999994
830,56,145.99,340.42999999999995
840,95,122.36000000000001,346.64000000000004
850,55,121.93000000000002,302.31
860,38,125.92999999999999,264.56000000000006
870,49,116.61999999999998,382.9800000000001
880,39,140.17999999999998,319.75999999999993
890,151,129.61999999999998,396.21999999999997
900,68,132.15999999999997,285.62
910,39,124.33000000000001,306.4000000000001
920,52,116.14000000000001,356.5
930,44,130.19,357.37
940,44,158.85999999999999,293.84
950,48,118.42999999999999,343.34000000000003
960,43,121.75000000000003,261.15
970,87,133.9,302.49999999999994
980,47,126.30000000000001,334.36
990,69,133.26,394.37
1000,39,125.92,271.48
